instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,hour_of_day,day_of_week,is_weekend,temp_actual,atemp_actual,hum_actual,windspeed_actual,weather_desc,season_desc,casual_ratio,time_category,season_weather,day_type,check_cnt
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011,1,2,19,6,1,7.040000000000001,3.0014000000000003,42.0,30.002599999999997,Clear/Partly Cloudy,Spring,0.03333333333333333,Evening (18-24),Spring - Clear/Partly Cloudy,Weekend,30
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011,1,2,20,6,1,6.1,1.9982000000000006,39.0,23.9994,Clear/Partly Cloudy,Spring,0.22727272727272727,Evening (18-24),Spring - Clear/Partly Cloudy,Weekend,22
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011,1,2,21,6,1,4.220000000000001,-0.9982000000000006,44.0,22.0028,Clear/Partly Cloudy,Spring,0.3548387096774194,Evening (18-24),Spring - Clear/Partly Cloudy,Weekend,31
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011,1,2,22,6,1,3.2799999999999994,-2.0013999999999985,44.0,19.999499999999998,Clear/Partly Cloudy,Spring,0.0,Evening (18-24),Spring - Clear/Partly Cloudy,Weekend,9
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011,1,2,23,6,1,2.34,-0.9982000000000006,47.0,11.0014,Clear/Partly Cloudy,Spring,0.0,Evening (18-24),Spring - Clear/Partly Cloudy,Weekend,8
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2011,1,3,0,0,0,2.34,-2.9979999999999993,44.0,23.9994,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,5
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2011,1,3,1,0,0,1.4000000000000004,-4.997800000000002,44.0,27.999299999999998,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,2
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2011,1,3,4,0,0,-0.47999999999999954,-6.9976,47.0,26.0027,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,1
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2011,1,3,5,0,0,-0.47999999999999954,-6.9976,47.0,19.0012,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,3
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2011,1,3,6,0,0,-1.419999999999999,-8.997399999999999,50.0,26.0027,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,30
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2011,1,3,7,0,0,-1.419999999999999,-6.9976,50.0,12.998000000000001,Clear/Partly Cloudy,Spring,0.015625,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,64
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2011,1,3,8,0,0,-1.419999999999999,-8.0008,50.0,19.0012,Clear/Partly Cloudy,Spring,0.006493506493506494,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,154
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2011,1,3,9,0,0,-0.47999999999999954,-6.9976,43.0,26.0027,Clear/Partly Cloudy,Spring,0.07954545454545454,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,88
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011,1,3,10,0,0,0.4599999999999991,-4.997800000000002,43.0,16.997899999999998,Clear/Partly Cloudy,Spring,0.25,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,44
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011,1,3,11,0,0,1.4000000000000004,-4.001200000000001,40.0,22.0028,Clear/Partly Cloudy,Spring,0.19607843137254902,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,51
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011,1,3,12,0,0,2.34,-2.0013999999999985,35.0,19.999499999999998,Clear/Partly Cloudy,Spring,0.21311475409836064,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,61
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011,1,3,13,0,0,3.2799999999999994,-2.0013999999999985,35.0,19.0012,Clear/Partly Cloudy,Spring,0.13114754098360656,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,61
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011,1,3,14,0,0,4.220000000000001,-0.0015999999999998238,30.0,19.0012,Clear/Partly Cloudy,Spring,0.14285714285714285,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,77
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011,1,3,15,0,0,4.220000000000001,-0.0015999999999998238,30.0,16.997899999999998,Clear/Partly Cloudy,Spring,0.19444444444444445,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,72
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011,1,3,16,0,0,4.220000000000001,-0.0015999999999998238,30.0,16.997899999999998,Clear/Partly Cloudy,Spring,0.11842105263157894,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,76
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011,1,3,17,0,0,3.2799999999999994,-0.9982000000000006,30.0,15.001299999999999,Clear/Partly Cloudy,Spring,0.07006369426751592,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,157
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011,1,3,18,0,0,3.2799999999999994,1.0015999999999998,32.0,7.0015,Clear/Partly Cloudy,Spring,0.05732484076433121,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,157
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011,1,3,19,0,0,1.4000000000000004,1.0015999999999998,47.0,0.0,Clear/Partly Cloudy,Spring,0.07272727272727272,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,110
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011,1,3,20,0,0,1.4000000000000004,-0.9982000000000006,47.0,7.0015,Clear/Partly Cloudy,Spring,0.057692307692307696,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,52
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011,1,3,21,0,0,0.4599999999999991,-2.9979999999999993,64.0,8.9981,Clear/Partly Cloudy,Spring,0.057692307692307696,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,52
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011,1,3,22,0,0,-1.419999999999999,-6.0009999999999994,69.0,8.9981,Clear/Partly Cloudy,Spring,0.0,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,20
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011,1,3,23,0,0,0.4599999999999991,-2.0013999999999985,55.00000000000001,7.0015,Clear/Partly Cloudy,Spring,0.08333333333333333,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,12
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2011,1,4,0,1,0,-0.47999999999999954,-4.001200000000001,55.00000000000001,7.0015,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,5
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2011,1,4,1,1,0,-0.47999999999999954,-4.001200000000001,59.0,7.0015,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,2
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2011,1,4,2,1,0,-1.419999999999999,-6.0009999999999994,63.0,8.9981,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,1
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2011,1,4,4,1,0,-1.419999999999999,-4.001200000000001,63.0,6.0032,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,2
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2011,1,4,5,1,0,-2.3600000000000003,-6.0009999999999994,68.0,7.0015,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,4
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2011,1,4,6,1,0,-2.3600000000000003,-6.0009999999999994,74.0,7.0015,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,36
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2011,1,4,7,1,0,-2.3600000000000003,-6.0009999999999994,74.0,8.9981,Clear/Partly Cloudy,Spring,0.02127659574468085,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,94
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2011,1,4,8,1,0,-1.419999999999999,-6.0009999999999994,69.0,11.0014,Clear/Partly Cloudy,Spring,0.0111731843575419,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,179
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2011,1,4,9,1,0,-0.47999999999999954,-6.0009999999999994,64.0,15.001299999999999,Clear/Partly Cloudy,Spring,0.02,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,100
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011,1,4,10,1,0,-0.47999999999999954,-6.9976,69.0,22.0028,Misty/Cloudy,Spring,0.11904761904761904,Morning (6-12),Spring - Misty/Cloudy,Regular Working Day,42
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011,1,4,11,1,0,2.34,-2.0013999999999985,51.0,19.999499999999998,Clear/Partly Cloudy,Spring,0.12280701754385964,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,57
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011,1,4,12,1,0,2.34,-0.9982000000000006,51.0,11.0014,Clear/Partly Cloudy,Spring,0.15384615384615385,Morning (6-12),Spring - Clear/Partly Cloudy,Regular Working Day,78
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011,1,4,13,1,0,3.2799999999999994,-0.9982000000000006,56.00000000000001,12.998000000000001,Clear/Partly Cloudy,Spring,0.18556701030927836,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,97
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011,1,4,14,1,0,4.220000000000001,1.0015999999999998,52.0,15.001299999999999,Clear/Partly Cloudy,Spring,0.14285714285714285,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,63
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011,1,4,15,1,0,5.160000000000002,1.9982000000000006,52.0,16.997899999999998,Clear/Partly Cloudy,Spring,0.26153846153846155,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,65
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011,1,4,16,1,0,6.1,3.0014000000000003,49.0,16.997899999999998,Clear/Partly Cloudy,Spring,0.18072289156626506,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,83
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011,1,4,17,1,0,5.160000000000002,1.9982000000000006,48.0,15.001299999999999,Clear/Partly Cloudy,Spring,0.04716981132075472,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,212
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011,1,4,18,1,0,4.220000000000001,1.0015999999999998,48.0,12.998000000000001,Clear/Partly Cloudy,Spring,0.016483516483516484,Afternoon (12-18),Spring - Clear/Partly Cloudy,Regular Working Day,182
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011,1,4,19,1,0,3.2799999999999994,1.0015999999999998,48.0,7.0015,Clear/Partly Cloudy,Spring,0.017857142857142856,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,112
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011,1,4,20,1,0,3.2799999999999994,1.0015999999999998,48.0,7.0015,Clear/Partly Cloudy,Spring,0.018518518518518517,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,54
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011,1,4,21,1,0,2.34,1.9982000000000006,64.0,0.0,Clear/Partly Cloudy,Spring,0.0,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,48
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011,1,4,22,1,0,2.34,1.0015999999999998,64.0,6.0032,Clear/Partly Cloudy,Spring,0.02857142857142857,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,35
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011,1,4,23,1,0,1.4000000000000004,-0.9982000000000006,69.0,6.0032,Clear/Partly Cloudy,Spring,0.18181818181818182,Evening (18-24),Spring - Clear/Partly Cloudy,Regular Working Day,11
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2011,1,5,0,2,0,1.4000000000000004,1.0015999999999998,64.0,0.0,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,6
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2011,1,5,1,2,0,-0.47999999999999954,-2.9979999999999993,74.0,6.0032,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,6
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2011,1,5,2,2,0,-0.47999999999999954,-2.9979999999999993,74.0,6.0032,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Regular Working Day,2
