instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,is_weekend,temp_actual,atemp_actual,hum_actual,windspeed_actual,weather_desc,season_desc,casual_ratio,season_weather,day_type,check_cnt
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,2011,1,20,3,0,4.298349,0.8333000000000013,53.833299999999994,13.125568,Misty/Cloudy,Spring,0.043072132848988066,Spring - Misty/Cloudy,Regular Working Day,1927
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,2011,1,21,4,0,0.34249999999999936,-5.583022,45.7083,23.667214,Clear/Partly Cloudy,Spring,0.04860661049902787,Spring - Clear/Partly Cloudy,Regular Working Day,1543
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,2011,1,22,5,1,-5.2208711999999995,-10.7814064,40.0,11.52199,Clear/Partly Cloudy,Spring,0.09480122324159021,Spring - Clear/Partly Cloudy,Weekend,981
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,2011,1,23,6,1,-3.4634801,-9.4766194,43.6522,16.5222,Clear/Partly Cloudy,Spring,0.15212981744421908,Spring - Clear/Partly Cloudy,Weekend,986
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,2011,1,24,0,0,-3.4226089,-8.21662,49.173899999999996,10.60811,Clear/Partly Cloudy,Spring,0.06073446327683616,Spring - Clear/Partly Cloudy,Regular Working Day,1416
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,2011,1,25,1,0,2.5034660000000013,-0.5212839999999996,61.695699999999995,8.696332,Misty/Cloudy,Spring,0.09370277078085643,Spring - Misty/Cloudy,Regular Working Day,1985
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,2011,1,26,2,0,2.2225,-2.5624000000000002,86.25,19.68795,Light Rain/Snow,Spring,0.06719367588932806,Spring - Light Rain/Snow,Regular Working Day,506
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,2011,1,27,3,0,1.165000000000001,-1.4998000000000005,68.75,7.627078999999999,Clear/Partly Cloudy,Spring,0.03480278422273782,Spring - Clear/Partly Cloudy,Regular Working Day,431
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,2011,1,28,4,0,1.563466,-1.2610780000000013,79.30430000000001,8.2611,Misty/Cloudy,Spring,0.032562125107112254,Spring - Misty/Cloudy,Regular Working Day,1167
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,2011,1,29,5,1,1.2365340000000007,-1.9996840000000002,65.17389999999999,9.739455,Clear/Partly Cloudy,Spring,0.11202185792349727,Spring - Clear/Partly Cloudy,Weekend,1098
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,2011,1,30,6,1,2.176534,0.5212520000000005,72.2174,4.956834199999999,Clear/Partly Cloudy,Spring,0.12773722627737227,Spring - Clear/Partly Cloudy,Weekend,1096
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,2011,1,31,0,0,0.49915099999999946,-3.7074999999999996,60.375,12.541864,Misty/Cloudy,Spring,0.02798134576948701,Spring - Misty/Cloudy,Regular Working Day,1501
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,2011,2,1,1,0,1.032178,-0.52102,82.9565,3.565271,Misty/Cloudy,Spring,0.03455882352941177,Spring - Misty/Cloudy,Regular Working Day,1360
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,2011,2,2,2,0,4.220000000000001,0.7915220000000005,77.5417,17.708636,Misty/Cloudy,Spring,0.047182175622542594,Spring - Misty/Cloudy,Regular Working Day,1526
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,2011,2,3,3,0,0.7869790000000005,-4.260052,43.7826,18.609384,Clear/Partly Cloudy,Spring,0.03935483870967742,Spring - Clear/Partly Cloudy,Regular Working Day,1550
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,2011,2,4,4,0,1.9312880000000003,-0.913257999999999,58.521699999999996,8.565213,Misty/Cloudy,Spring,0.05152224824355972,Spring - Misty/Cloudy,Regular Working Day,1708
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,2011,2,5,5,1,2.9666510000000006,0.041827999999998866,92.91669999999999,10.792293,Misty/Cloudy,Spring,0.09950248756218906,Spring - Misty/Cloudy,Weekend,1005
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,2011,2,6,6,1,5.434151,3.2502860000000027,56.833299999999994,9.5006,Clear/Partly Cloudy,Spring,0.21811460258780038,Spring - Clear/Partly Cloudy,Weekend,1623
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,2011,2,7,0,0,4.768348999999999,4.041428,73.83330000000001,3.0423561,Clear/Partly Cloudy,Spring,0.07009345794392523,Spring - Clear/Partly Cloudy,Regular Working Day,1712
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,2011,2,8,1,0,2.3791510000000002,-2.9157639999999994,53.7917,24.25065,Clear/Partly Cloudy,Spring,0.04183006535947712,Spring - Clear/Partly Cloudy,Regular Working Day,1530
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,2011,2,9,2,0,-1.6651990000000003,-6.477322000000001,49.4783,12.652213,Misty/Cloudy,Spring,0.03302180685358255,Spring - Misty/Cloudy,Regular Working Day,1605
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,2011,2,10,3,0,-1.2156440000000002,-6.129832,43.7391,14.869645,Clear/Partly Cloudy,Spring,0.0305591677503251,Spring - Clear/Partly Cloudy,Regular Working Day,1538
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,2011,2,11,4,0,0.887277000000001,-1.9084059999999994,50.6364,7.272849999999999,Clear/Partly Cloudy,Spring,0.08533791523482245,Spring - Clear/Partly Cloudy,Regular Working Day,1746
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,2011,2,12,5,1,2.4574999999999996,-0.6250359999999997,54.4167,13.625589,Clear/Partly Cloudy,Spring,0.1956521739130435,Spring - Clear/Partly Cloudy,Weekend,1472
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,2011,2,13,6,1,6.876534000000001,5.391458,45.7391,17.479160999999998,Clear/Partly Cloudy,Spring,0.24984266834487098,Spring - Clear/Partly Cloudy,Weekend,1589
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.38061125,208,1705,1913,2011,2,14,0,0,11.504999999999999,10.2911,37.583299999999994,27.999836,Clear/Partly Cloudy,Spring,0.10872974385781495,Spring - Clear/Partly Cloudy,Regular Working Day,1913
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,2011,2,15,1,0,4.506089000000001,0.7820840000000011,31.434800000000003,19.522058,Clear/Partly Cloudy,Spring,0.07713498622589532,Spring - Clear/Partly Cloudy,Regular Working Day,1815
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2011,2,16,2,0,6.958267000000001,4.869199999999999,42.3478,16.869996999999998,Clear/Partly Cloudy,Spring,0.10307328605200945,Spring - Clear/Partly Cloudy,Regular Working Day,2115
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2011,2,17,3,0,12.484151,12.291428,50.5,15.416968,Clear/Partly Cloudy,Spring,0.10464646464646464,Spring - Clear/Partly Cloudy,Regular Working Day,2475
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2011,2,18,4,0,16.518349,17.790878,51.6667,17.749975000000003,Clear/Partly Cloudy,Spring,0.19781346088144858,Spring - Clear/Partly Cloudy,Regular Working Day,2927
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.20468725,0.38061125,532,1103,1635,2011,2,19,5,1,10.760849,9.832663999999998,18.7917,34.000021,Clear/Partly Cloudy,Spring,0.3253822629969419,Spring - Clear/Partly Cloudy,Weekend,1635
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,2011,2,20,6,1,5.405199,2.3037799999999997,40.7826,14.956745,Clear/Partly Cloudy,Spring,0.3526490066225166,Spring - Clear/Partly Cloudy,Weekend,1812
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,2011,2,21,0,0,6.2566510000000015,2.7489500000000007,60.5,20.625682,Misty/Cloudy,Spring,0.17615176151761516,Spring - Misty/Cloudy,Holiday,1107
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,2011,2,22,1,0,0.5644340000000003,-3.7218219999999995,57.7778,13.110761,Clear/Partly Cloudy,Spring,0.05103448275862069,Spring - Clear/Partly Cloudy,Regular Working Day,1450
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,2011,2,23,2,0,2.4217329999999997,0.21732199999999935,42.3043,6.3055710000000005,Clear/Partly Cloudy,Spring,0.07250912884715702,Spring - Clear/Partly Cloudy,Regular Working Day,1917
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,2011,2,24,3,0,5.895644000000001,3.0866059999999997,69.7391,16.783231999999998,Misty/Cloudy,Spring,0.05534034311012728,Spring - Misty/Cloudy,Regular Working Day,1807
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,2011,2,25,4,0,9.124355999999999,7.130426,71.2174,23.218113,Misty/Cloudy,Spring,0.08213552361396304,Spring - Misty/Cloudy,Regular Working Day,1461
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,2011,2,26,5,1,5.277499999999998,2.6246720000000003,53.7917,12.500257,Clear/Partly Cloudy,Spring,0.21533773489080751,Spring - Clear/Partly Cloudy,Weekend,1969
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2011,2,27,6,1,8.143466,7.173193999999999,68.0,8.391615999999999,Clear/Partly Cloudy,Spring,0.28892589508742716,Spring - Clear/Partly Cloudy,Weekend,2402
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,2011,2,28,0,0,11.141831,10.407787999999996,87.63640000000001,19.408962,Misty/Cloudy,Spring,0.056016597510373446,Spring - Misty/Cloudy,Regular Working Day,1446
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,2011,3,1,1,0,4.533348999999999,1.416013999999997,53.5,14.500475,Clear/Partly Cloudy,Spring,0.07401404646137223,Spring - Clear/Partly Cloudy,Regular Working Day,1851
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,2011,3,2,2,0,7.745000000000001,5.1246860000000005,44.9583,20.624811,Clear/Partly Cloudy,Spring,0.10824742268041238,Spring - Clear/Partly Cloudy,Regular Working Day,2134
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,2011,3,3,3,0,1.321651000000001,-2.7912219999999994,31.833299999999998,15.125518000000001,Clear/Partly Cloudy,Spring,0.07299703264094956,Spring - Clear/Partly Cloudy,Regular Working Day,1685
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,2011,3,4,4,0,4.298349,0.8748140000000006,61.0417,13.624182,Misty/Cloudy,Spring,0.11008230452674897,Spring - Misty/Cloudy,Regular Working Day,1944
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2011,3,5,5,1,10.055848999999998,8.999413999999998,78.91669999999999,16.875357,Misty/Cloudy,Spring,0.30813673567645644,Spring - Misty/Cloudy,Weekend,2077
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,2011,3,6,6,1,9.696534,8.172632,94.8261,23.000229,Misty/Cloudy,Spring,0.1884297520661157,Spring - Misty/Cloudy,Weekend,605
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,2011,3,7,0,0,4.3017330000000005,-0.26157399999999953,55.1304,22.870584,Clear/Partly Cloudy,Spring,0.13034188034188035,Spring - Clear/Partly Cloudy,Regular Working Day,1872
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2011,3,8,1,0,5.747499999999999,3.958400000000001,42.0833,8.083549999999999,Clear/Partly Cloudy,Spring,0.14814814814814814,Spring - Clear/Partly Cloudy,Regular Working Day,2133
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,2011,3,9,2,0,5.904151000000001,2.916127999999997,77.5417,14.750050000000002,Misty/Cloudy,Spring,0.10100475938656796,Spring - Misty/Cloudy,Regular Working Day,1891
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.20468725,0.261877,46,577,623,2011,3,10,3,0,10.287277,9.454088000000002,0.0,17.545759,Light Rain/Snow,Spring,0.0738362760834671,Spring - Light Rain/Snow,Regular Working Day,623
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,2011,3,11,4,0,6.876534000000001,4.129999999999999,64.95649999999999,15.60899,Misty/Cloudy,Spring,0.12493677288821446,Spring - Misty/Cloudy,Regular Working Day,1977
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2011,3,12,5,1,7.470848999999999,5.499499999999998,59.458299999999994,14.791924999999999,Clear/Partly Cloudy,Spring,0.3395872420262664,Spring - Clear/Partly Cloudy,Weekend,2132
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2011,3,13,6,1,10.064356,9.086006000000001,52.73910000000001,18.130468,Clear/Partly Cloudy,Spring,0.4062887877534133,Spring - Clear/Partly Cloudy,Weekend,2417
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2011,3,14,0,0,7.285198999999999,5.912000000000003,49.695699999999995,9.174042,Clear/Partly Cloudy,Spring,0.17546432062561096,Spring - Clear/Partly Cloudy,Regular Working Day,2046
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2011,3,15,1,0,6.917376999999998,4.999748,65.5652,12.348703,Misty/Cloudy,Spring,0.14056420233463035,Spring - Misty/Cloudy,Regular Working Day,2056
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2011,3,16,2,0,9.165199000000001,8.217379999999999,77.65220000000001,13.608839,Misty/Cloudy,Spring,0.14644160583941607,Spring - Misty/Cloudy,Regular Working Day,2192
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2011,3,17,3,0,11.504999999999999,11.081978,60.291700000000006,14.041792999999998,Clear/Partly Cloudy,Spring,0.15451895043731778,Spring - Clear/Partly Cloudy,Regular Working Day,2744
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,2011,3,18,4,0,17.380000000000003,18.782593999999996,52.5217,15.478139,Clear/Partly Cloudy,Spring,0.27292374189564683,Spring - Clear/Partly Cloudy,Regular Working Day,3239
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2011,3,19,5,1,14.2075,14.790650000000003,37.9167,24.667189,Clear/Partly Cloudy,Spring,0.45684953480911134,Spring - Clear/Partly Cloudy,Weekend,3117
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2011,3,20,6,1,7.627500000000001,5.499499999999998,47.375,13.917307,Clear/Partly Cloudy,Spring,0.4237150951031971,Spring - Clear/Partly Cloudy,Weekend,2471
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2011,3,21,0,0,12.230445,11.04251,73.73910000000001,19.348461,Misty/Cloudy,Summer,0.19306692344727974,Summer - Misty/Cloudy,Regular Working Day,2077
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2011,3,22,1,0,12.758348999999999,13.082372,62.4583,15.125250000000001,Clear/Partly Cloudy,Summer,0.1701812800591935,Summer - Clear/Partly Cloudy,Regular Working Day,2703
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2011,3,23,2,0,8.306979000000002,6.303974,83.9565,15.695487,Misty/Cloudy,Summer,0.09570957095709572,Summer - Misty/Cloudy,Regular Working Day,2121
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2011,3,24,3,0,5.395,1.8749779999999987,80.58330000000001,16.333729,Misty/Cloudy,Summer,0.08900804289544235,Summer - Misty/Cloudy,Regular Working Day,1865
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2011,3,25,4,0,4.415849,0.9165919999999979,49.5,15.458575000000002,Clear/Partly Cloudy,Summer,0.13574660633484162,Summer - Clear/Partly Cloudy,Regular Working Day,2210
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2011,3,26,5,1,4.494150999999999,0.9996860000000005,39.4167,14.041257,Clear/Partly Cloudy,Summer,0.39302884615384615,Summer - Clear/Partly Cloudy,Weekend,2496
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2011,3,27,6,1,3.893021000000001,0.5223739999999992,49.3913,12.348099999999999,Misty/Cloudy,Summer,0.27879503839338454,Summer - Misty/Cloudy,Weekend,1693
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2011,3,28,0,0,4.424356000000001,0.9998840000000015,30.2174,14.217668,Clear/Partly Cloudy,Summer,0.10946745562130178,Summer - Clear/Partly Cloudy,Regular Working Day,2028
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2011,3,29,1,0,6.217499999999999,3.3319280000000013,31.4167,15.208732,Clear/Partly Cloudy,Summer,0.13072164948453607,Summer - Clear/Partly Cloudy,Regular Working Day,2425
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2011,3,30,2,0,6.1,3.6250999999999998,64.6667,11.583495999999998,Misty/Cloudy,Summer,0.109375,Summer - Misty/Cloudy,Regular Working Day,1536
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,2011,3,31,3,0,4.611651,0.9999499999999983,91.8333,14.582282000000001,Light Rain/Snow,Summer,0.10623145400593471,Summer - Light Rain/Snow,Regular Working Day,1685
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2011,4,1,4,0,6.1,2.7079640000000005,68.625,17.333436,Misty/Cloudy,Summer,0.13785361472833407,Summer - Misty/Cloudy,Regular Working Day,2227
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2011,4,2,5,1,6.805,4.832042000000001,65.375,13.208782,Misty/Cloudy,Summer,0.3987566607460036,Summer - Misty/Cloudy,Weekend,2252
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2011,4,3,6,1,9.781651,8.998622000000001,48.0,12.208271000000002,Clear/Partly Cloudy,Summer,0.5081563558017852,Summer - Clear/Partly Cloudy,Weekend,3249
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.38061125,734,2381,3115,2011,4,4,0,0,18.946651,19.833314,42.625,25.833257,Clear/Partly Cloudy,Summer,0.23563402889245585,Summer - Clear/Partly Cloudy,Regular Working Day,3115
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.38061125,167,1628,1795,2011,4,5,1,0,11.465848999999999,10.2911,64.2083,26.000488999999998,Misty/Cloudy,Summer,0.09303621169916435,Summer - Misty/Cloudy,Regular Working Day,1795
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2011,4,6,2,0,10.369150999999999,9.582128,47.0833,17.625221,Clear/Partly Cloudy,Summer,0.14707977207977208,Summer - Clear/Partly Cloudy,Regular Working Day,2808
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2011,4,7,3,0,12.5625,12.623936,60.291700000000006,10.874904,Clear/Partly Cloudy,Summer,0.18178923909582936,Summer - Clear/Partly Cloudy,Regular Working Day,3141
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2011,4,8,4,0,7.784151,5.4156140000000015,83.625,15.208464,Misty/Cloudy,Summer,0.11692726036709722,Summer - Misty/Cloudy,Regular Working Day,1471
